id,name,category,price,mrp,rating,ratingTotal,discount,seller,purl,description
576588,Women Solid Mid-Top Boots,boots,1169,3899.0,4.3,6,70,Roadster,https://www.myntra.com/boots/roadster/roadster-women-beige-solid-mid-top-regular-boots/19429234/buy,Women Solid Mid-Top Boots by Roadster. Price: ₹1169. Rating: 4.3/5. Category: boots
661607,Women Solid Slim-Fit Joggers,track-pants,2499,2499.0,4.0,3,0,ARTICALE,https://www.myntra.com/track-pants/articale/articale-women-black-solid-slim-fit-joggers/18395136/buy,Women Solid Slim-Fit Joggers by ARTICALE. Price: ₹2499. Rating: 4.0/5. Category: track-pants
809470,Women Solid Lingerie Set,lingerie-set,489,1399.0,2.4,5,65,Da Intimo,https://www.myntra.com/lingerie-set/da-intimo/da-intimo-women-black-solid-lingerie-set-di-1346-black-c22/16980070/buy,Women Solid Lingerie Set by Da Intimo. Price: ₹489. Rating: 2.4/5. Category: lingerie-set
452480,Boys Brand Logo Printed T-shirt,tshirts,579,999.0,3.4,5,42,Gini and Jony,https://www.myntra.com/tshirts/gini-and-jony/gini-and-jony-boys-navy-blue-brand-logo-printed-t-shirt/20783688/buy,Boys Brand Logo Printed T-shirt by Gini and Jony. Price: ₹579. Rating: 3.4/5. Category: tshirts
239800,Women Printed Sweatshirt,sweatshirts,919,2299.0,4.6,9,60,all about you,https://www.myntra.com/sweatshirts/all-about-you/all-about-you-women-green-floral-printed-applique-long-sleeves-hooded-sweatshirt/18453000/buy,Women Printed Sweatshirt by all about you. Price: ₹919. Rating: 4.6/5. Category: sweatshirts
77184,Set of 3 Titanium Deodorants,deodorant,975,975.0,4.3,9,0,Wild stone,https://www.myntra.com/deodorant/wild-stone/wild-stone-men-set-of-3-code-titanium-no-gas-body-perfume-deodorants---150-ml-each/18959994/buy,Set of 3 Titanium Deodorants by Wild stone. Price: ₹975. Rating: 4.3/5. Category: deodorant
939239,Heavy Winter Double Bed Quilt,blankets-quilts-and-dohars,2999,9999.0,2.8,5,70,Arrabi,https://www.myntra.com/blankets-quilts-and-dohars/arrabi/arrabi-red--pink-heavy-winter-950-gsm-double-bed-quilt/16861350/buy,Heavy Winter Double Bed Quilt by Arrabi. Price: ₹2999. Rating: 2.8/5. Category: blankets-quilts-and-dohars
769925,Women Geometric A-Line Kurta,kurtas,679,1699.0,4.3,63,60,Anouk,https://www.myntra.com/kurtas/anouk/anouk-women-v-neck-geometric-printed-a-line-kurta/21020276/buy,Women Geometric A-Line Kurta by Anouk. Price: ₹679. Rating: 4.3/5. Category: kurtas
24605,Spread Collar Casual Shirt,shirts,1799,2999.0,4.6,7,40,Marks & Spencer,https://www.myntra.com/shirts/marks--spencer/marks--spencer-spread-collar-casual-shirt/21843876/buy,Spread Collar Casual Shirt by Marks & Spencer. Price: ₹1799. Rating: 4.6/5. Category: shirts
795094,Men Printed Polo Collar T-shirt,tshirts,424,1699.0,4.0,33,75,Moda Rapido,https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-blue-printed-polo-collar-pure-cotton-t-shirt/15606782/buy,Men Printed Polo Collar T-shirt by Moda Rapido. Price: ₹424. Rating: 4.0/5. Category: tshirts
